
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      2.5
-0.959596  3.50975  2 

-0.959596  3.50975  2 
-0.983105  3.51703  2 
-1.03998  3.53707  2 
-1.06061  3.54538  2 
-1.07818  3.55711  2 
-1.1051  3.57715  2 
-1.12881  3.59719  2 
-1.14965  3.61723  2 
-1.16162  3.6302  2 
-1.16643  3.63727  2 
-1.17871  3.65731  2 
-1.18952  3.67735  2 
-1.19897  3.69739  2 
-1.20713  3.71743  2 
-1.2141  3.73747  2 
-1.21994  3.75752  2 
-1.2247  3.77756  2 
-1.22845  3.7976  2 
-1.23123  3.81764  2 
-1.23308  3.83768  2 
-1.23404  3.85772  2 
-1.23414  3.87776  2 
-1.23341  3.8978  2 
-1.23186  3.91784  2 
-1.22952  3.93788  2 
-1.2264  3.95792  2 
-1.22252  3.97796  2 
-1.21789  3.998  2 
-1.21251  4.01804  2 
-1.20638  4.03808  2 
-1.19952  4.05812  2 
-1.19192  4.07816  2 
-1.18357  4.0982  2 
-1.17447  4.11824  2 
-1.16462  4.13828  2 
-1.16162  4.14393  2 
-1.15256  4.15832  2 
-1.13904  4.17836  2 
-1.12465  4.1984  2 
-1.10936  4.21844  2 
-1.09316  4.23848  2 
-1.07603  4.25852  2 
-1.06061  4.2756  2 
-1.05735  4.27856  2 
-1.03409  4.2986  2 
-1.00973  4.31864  2 
-0.984228  4.33868  2 
-0.959596  4.35719  2 
-0.956997  4.35872  2 
-0.921558  4.37876  2 
-0.88479  4.3988  2 
-0.858586  4.41256  2 
-0.842315  4.41884  2 
-0.788775  4.43888  2 
-0.757576  4.45023  2 
-0.721097  4.45892  2 
-0.656566  4.474  2 
-0.613489  4.47896  2 
-0.555556  4.48555  2 
-0.454545  4.48528  2 
-0.403223  4.47896  2 
-0.353535  4.4723  2 
-0.303396  4.45892  2 
-0.252525  4.44392  2 
-0.240974  4.43888  2 
-0.198799  4.41884  2 
-0.161036  4.3988  2 
-0.151515  4.39324  2 
-0.132346  4.37876  2 
-0.108467  4.35872  2 
-0.087245  4.33868  2 
-0.068533  4.31864  2 
-0.0521976  4.2986  2 
-0.0505051  4.29623  2 
-0.0399315  4.27856  2 
-0.0296887  4.25852  2 
-0.0211425  4.23848  2 
-0.0142237  4.21844  2 
-0.00886756  4.1984  2 
-0.00501397  4.17836  2 
-0.00260669  4.15832  2 
-0.0015931  4.13828  2 
-0.00192384  4.11824  2 
-0.00355248  4.0982  2 
-0.00643532  4.07816  2 
-0.0105311  4.05812  2 
-0.0158008  4.03808  2 
-0.0222075  4.01804  2 
-0.0297161  3.998  2 
-0.0382933  3.97796  2 
-0.0479073  3.95792  2 
-0.0505051  3.95304  2 
-0.0595323  3.93788  2 
-0.0725312  3.91784  2 
-0.0865334  3.8978  2 
-0.101502  3.87776  2 
-0.117402  3.85772  2 
-0.134198  3.83768  2 
-0.151515  3.81803  2 

 1.43983  0.931864  2 
 1.4569  0.911824  2 
 1.46465  0.902166  2 
 1.47191  0.891784  2 
 1.48509  0.871743  2 
 1.49743  0.851703  2 
 1.50898  0.831663  2 
 1.51978  0.811623  2 
 1.52986  0.791583  2 
 1.53927  0.771543  2 
 1.54802  0.751503  2 
 1.55614  0.731463  2 
 1.56366  0.711423  2 
 1.56566  0.705648  2 
 1.57005  0.691383  2 
 1.5757  0.671343  2 
 1.58084  0.651303  2 
 1.58548  0.631263  2 
 1.58964  0.611222  2 
 1.59331  0.591182  2 
 1.59651  0.571142  2 
 1.59923  0.551102  2 
 1.60148  0.531062  2 
 1.60326  0.511022  2 
 1.60455  0.490982  2 
 1.60536  0.470942  2 
 1.60567  0.450902  2 
 1.60548  0.430862  2 
 1.60476  0.410822  2 
 1.6035  0.390782  2 
 1.60168  0.370741  2 
 1.59928  0.350701  2 
 1.59627  0.330661  2 
 1.59262  0.310621  2 
 1.58828  0.290581  2 
 1.58322  0.270541  2 
 1.57739  0.250501  2 
 1.57074  0.230461  2 
 1.56566  0.216848  2 
 1.5627  0.210421  2 
 1.55243  0.190381  2 
 1.54079  0.170341  2 
 1.52761  0.150301  2 
 1.51273  0.130261  2 
 1.49593  0.11022  2 
 1.47697  0.0901804  2 
 1.46465  0.0784197  2 
 1.45218  0.0701403  2 
 1.41817  0.0501002  2 
 1.3783  0.0300601  2 
 1.36364  0.0234915  2 
 1.30262  0.01002  2 
 1.26263  0.00251028  2 
 1.16162  0.00165776  2 

 1.16162  0.00165776  2 
 1.09902  0.01002  2 
 1.06061  0.0147309  2 
 0.996879  0.0300601  2 
 0.959596  0.0384051  2 
 0.924346  0.0501002  2 
 0.860246  0.0701403  2 
 0.858586  0.0706425  2 
 0.810152  0.0901804  2 
 0.757911  0.11022  2 
 0.757576  0.110347  2 
 0.715297  0.130261  2 
